version,nthread,num_steps,runtime
"n_reduce",2,100000000,0.045116998
"critical",2,100000000, 3.0710161
"reduce",2,100000000,0.044966001
"atomic",2,100000000, 2.6207631
"n_reduce",2,100000000,0.045060001
"critical",2,100000000, 2.8096311
"reduce",2,100000000,0.045074001
"atomic",2,100000000,  3.272022
"n_reduce",2,100000000,0.045391001
"critical",2,100000000, 2.8754971
"reduce",2,100000000,0.045145001
"atomic",2,100000000, 2.9083581
"n_reduce",2,100000000,  0.044514
"critical",4,100000000, 6.6842179
"reduce",4,100000000,0.035941999
"atomic",4,100000000, 4.8630881
"n_reduce",4,100000000,0.025946001
"critical",4,100000000, 6.7088542
"reduce",4,100000000,0.030548001
"atomic",4,100000000, 4.8219171
"n_reduce",4,100000000,  0.022467
"critical",4,100000000, 6.6923838
"reduce",4,100000000,0.022748999
"atomic",4,100000000,  4.763938
"n_reduce",4,100000000,  0.030458
"critical",4,100000000, 6.7074642
"reduce",4,100000000,  0.029994
"atomic",4,100000000, 4.5430069
"n_reduce",4,100000000,0.022639999
"critical",4,100000000, 6.7730498
"reduce",4,100000000,0.031353001
"atomic",4,100000000,  4.956182
"n_reduce",4,100000000,  0.022443
"critical",4,100000000, 6.9050579
"reduce",4,100000000,  0.023342
"atomic",4,100000000, 4.4948502
"n_reduce",4,100000000,0.022585001
"critical",4,100000000, 6.7806401
"reduce",4,100000000,  0.031305
"atomic",4,100000000,  4.869648
"n_reduce",4,100000000,0.022794999
"critical",4,100000000, 6.7778969
"reduce",4,100000000,0.030758001
"atomic",4,100000000,   4.87854
"n_reduce",4,100000000,0.022972001
"critical",4,100000000, 6.7410951
"reduce",4,100000000,0.022669001
"atomic",4,100000000, 4.9391341
"n_reduce",4,100000000,   0.02499
"critical",4,100000000,  6.917057
"reduce",4,100000000,0.031366002
"atomic",4,100000000, 4.4886389
"n_reduce",4,100000000,  0.029887
"critical",8,100000000, 9.0675926
"reduce",8,100000000,  0.020848
"atomic",8,100000000, 5.1275921
"n_reduce",8,100000000,  0.020064
"critical",8,100000000, 9.2509232
"reduce",8,100000000,0.022244001
"atomic",8,100000000, 4.4989061
"n_reduce",8,100000000,  0.022216
"critical",8,100000000, 9.1706734
"reduce",8,100000000,0.019556999
"atomic",8,100000000, 4.3573022
"n_reduce",8,100000000,  0.020467
"critical",8,100000000, 9.0840082
"reduce",8,100000000,0.021106999
"atomic",8,100000000, 4.3367562
"n_reduce",8,100000000,   0.02094
"critical",8,100000000, 9.3310022
"reduce",8,100000000,0.020214001
"atomic",8,100000000, 4.2081418
"n_reduce",8,100000000,   0.02076
"critical",8,100000000, 9.3976002
"reduce",8,100000000,  0.018607
"atomic",8,100000000, 4.3231659
"n_reduce",8,100000000,0.021694999
"critical",8,100000000, 9.3686628
"reduce",8,100000000,   0.01871
"atomic",8,100000000, 5.0303349
"n_reduce",8,100000000,0.019075001
"critical",8,100000000, 9.2012987
"reduce",8,100000000,0.021098999
"atomic",8,100000000, 5.0356541
"n_reduce",8,100000000,0.020006999
"critical",8,100000000, 9.3905478
"reduce",8,100000000,0.018486001
"atomic",8,100000000, 5.1201229
"n_reduce",8,100000000,  0.018075
"critical",8,100000000, 9.3730888
"reduce",8,100000000,0.018781001
"atomic",8,100000000, 4.4415889
"n_reduce",8,100000000,  0.020622
"sequential",1,10000,     8e-06
"sequential",1,10000,9.0000003e-06
"sequential",1,10000,9.0000003e-06
"sequential",1,10000,9.0000003e-06
"sequential",1,10000,9.0000003e-06
"sequential",1,10000,     8e-06
"sequential",1,10000,9.0000003e-06
"sequential",1,10000,9.0000003e-06
"sequential",1,10000,9.0000003e-06
"sequential",1,10000,9.0000003e-06
"sequential",2,10000,9.0000003e-06
"sequential",2,10000,     8e-06
"sequential",2,10000,9.0000003e-06
"sequential",2,10000,9.0000003e-06
"sequential",2,10000,9.0000003e-06
"sequential",2,10000,9.0000003e-06
"sequential",2,10000,9.0000003e-06
"sequential",2,10000,     8e-06
"sequential",2,10000,9.0000003e-06
"sequential",2,10000,9.0000003e-06
"sequential",4,10000,9.0000003e-06
"sequential",4,10000,9.0000003e-06
"sequential",4,10000,9.0000003e-06
"sequential",4,10000,9.0000003e-06
"sequential",4,10000,     8e-06
"sequential",4,10000,9.0000003e-06
"sequential",4,10000,     8e-06
"sequential",4,10000,9.0000003e-06
"sequential",4,10000,9.0000003e-06
"sequential",4,10000,9.0000003e-06
"sequential",8,10000,9.0000003e-06
"sequential",8,10000,9.0000003e-06
"sequential",8,10000,9.0000003e-06
"sequential",8,10000,9.0000003e-06
"sequential",8,10000,1.8000001e-05
"sequential",8,10000,     8e-06
"sequential",8,10000,9.0000003e-06
"sequential",8,10000,     8e-06
"sequential",8,10000,9.0000003e-06
"sequential",8,10000,9.0000003e-06
"sequential",1,1000000,0.00087599998
"sequential",1,1000000,0.00087500003
"sequential",1,1000000,0.00087599998
"sequential",1,1000000,0.00092100003
"sequential",1,1000000,0.00088299997
"sequential",1,1000000,0.00090099999
"sequential",1,1000000,0.00093899999
"sequential",1,1000000,0.00088399998
"sequential",1,1000000,0.00088299997
"sequential",1,1000000,0.00088200002
"sequential",2,1000000,0.00092899997
"sequential",2,1000000,  0.001072
"sequential",2,1000000,  0.000879
"sequential",2,1000000,0.00088599999
"sequential",2,1000000,0.00088299997
"sequential",2,1000000,0.00087599998
"sequential",2,1000000,0.00088200002
"sequential",2,1000000,0.00088200002
"sequential",2,1000000,0.00087599998
"sequential",2,1000000,0.00087699998
"sequential",4,1000000,0.00088299997
"sequential",4,1000000,0.00088299997
"sequential",4,1000000,0.00088299997
"sequential",4,1000000,0.00088399998
"sequential",4,1000000,  0.000932
"sequential",4,1000000,0.00088399998
"sequential",4,1000000,  0.000902
"sequential",4,1000000,  0.000956
"sequential",4,1000000,0.00088399998
"sequential",4,1000000,0.00087699998
"sequential",8,1000000,0.00088399998
"sequential",8,1000000,0.00089299999
"sequential",8,1000000,0.00087699998
"sequential",8,1000000,0.00088399998
"sequential",8,1000000,  0.000895
"sequential",8,1000000,0.00088299997
"sequential",8,1000000,0.00088499999
"sequential",8,1000000,0.00088299997
"sequential",8,1000000,0.00090300001
"sequential",8,1000000,0.00088599999
"sequential",1,10000000,0.0089149997
"sequential",1,10000000,0.0089450004
"sequential",1,10000000,  0.008835
"sequential",1,10000000,0.0089609995
"sequential",1,10000000,0.0088259997
"sequential",1,10000000,0.0089100003
"sequential",1,10000000,0.0088050002
"sequential",1,10000000,0.0089100003
"sequential",1,10000000,0.0089180004
"sequential",1,10000000,0.0089830002
"sequential",2,10000000,0.0089490004
"sequential",2,10000000,0.0089250002
"sequential",2,10000000,0.0088689998
"sequential",2,10000000,0.0088539999
"sequential",2,10000000,0.0089689996
"sequential",2,10000000,0.0088910004
"sequential",2,10000000,0.0089830002
"sequential",2,10000000,0.0089290002
"sequential",2,10000000,0.0088539999
"sequential",2,10000000,0.0088060005
"sequential",4,10000000,0.0088369995
"sequential",4,10000000,  0.008835
"sequential",4,10000000,0.0090880003
"sequential",4,10000000,   0.00875
"sequential",4,10000000,0.0089189997
"sequential",4,10000000,0.0090420004
"sequential",4,10000000,0.0088529997
"sequential",4,10000000,0.0088379998
"sequential",4,10000000,0.0088809999
"sequential",4,10000000,0.0088010002
"sequential",8,10000000,0.0088250004
"sequential",8,10000000,0.0087710004
"sequential",8,10000000,0.0087160002
"sequential",8,10000000,0.0087350002
"sequential",8,10000000,0.0086859995
"sequential",8,10000000,  0.008843
"sequential",8,10000000,0.0087959999
"sequential",8,10000000,0.0088499999
"sequential",8,10000000,0.0088219997
"sequential",8,10000000,0.0088339997
"sequential",1,100000000,0.088335998
"sequential",1,100000000,0.086779997
"sequential",1,100000000,0.086085998
"sequential",1,100000000,0.088252001
"sequential",1,100000000,0.089440003
"sequential",1,100000000,  0.089056
"sequential",1,100000000,  0.087715
"sequential",1,100000000,  0.087816
"sequential",1,100000000,0.088689998
"sequential",1,100000000,  0.087729
"sequential",2,100000000,0.087119997
"sequential",2,100000000,  0.088156
"sequential",2,100000000,0.086406998
"sequential",2,100000000,0.086745001
"sequential",2,100000000,0.088078998
"sequential",2,100000000,0.088610999
"sequential",2,100000000,  0.087724
"sequential",2,100000000,0.089028999
"sequential",2,100000000,0.088993996
"sequential",2,100000000,0.088783003
"sequential",4,100000000,0.087243997
"sequential",4,100000000,0.087127998
"sequential",4,100000000,0.089567997
"sequential",4,100000000,  0.089855
"sequential",4,100000000,0.088262998
"sequential",4,100000000,0.089057997
"sequential",4,100000000,0.092964001
"sequential",4,100000000,0.086893998
